institution,slug,country,continent,repository_code,archive_type,bfi_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/c1982e44-0b32-5fc2-be47-0dd6152b09f6,The Lambeth Housing Film,Documentary,Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Housing; Slums; Lambeth; Roads; Clapham | locais: Lambeth | som: Silent | duração: 11 min | Brightcove: 6057949427001/ref:htNHg3YjE6pIZtOVFzxGGpvTTHoXq8YD,1937,The Lambeth Housing Film,1937-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/4342952a-9917-5ff6-aa75-b2cadc48d52d,The Smoke Menace,Industry sponsored film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Industry sponsored film | assuntos: Children; Great Britain; Street scenes; Smoke emissions; Ultra-violet treatment; Factory workers; Chimney sweeps; Westminster Abbey; Stonemasonry; Soot; Clocking on; Launchings; Fog; Biplanes; Middlesex Hospital; Gasworks; Kensington; Manual workers; Statues; Surbiton; Ships; Smog; Bakeries; Window cleaners | locais: Westminster | som: Sound | duração: 14 min | Brightcove: 6057949427001/ref:hmaXRsdTqIWUnztBNRUiMOwxuleuG4J4 | The deadly downside of Britain's industrial might: smog. | Smog was the deadly downside of Britain's industrial might, as this powerful and revealing documentary spells out. In 1937, coal was Britain's lifeblood; it fuelled her industry and heated most homes. But coal was wasteful and dirty, and it had an unpleasant, even lethal by-product. Smog wasn't just nasty and disruptive, it took its toll on buildings, the economy, child development and adult health - and it was a killer, claiming scores of lives every year. | By 1937, the battle against smog was already being waged: the film points to processing technology to convert raw coal into oil or smokeless fuel, the increasing use of cleaner energy from gas and electricity, and improved housing. But another 15 years of periodic outbreaks of smog still lay ahead, before London's Great S...",1937,The Smoke Menace,1937-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/de61a390-a6ac-507a-9d54-cf2583168ced,Xmas 1937,Amateur film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Amateur film | assuntos: Christmas; Family life; Middle class; Christmas dinners | som: Silent | duração: 3 min | Brightcove: 6057949427001/ref:RnMTR5cTrq0NLYLOkB36KA5CnNZlatgO | Footage of a middle-class family's Christmas celebrations, including the Christmas dinner. | Join at the Yeatman family's Yuletide celebrations with this delightful home movie of their 1937 Christmas dinner. | Take a peek at the Yeatman family's Yuletide celebrations with this delightful home movie of their 1937 Christmas party preparations and dinner. The star of the show is the plump and glistening Christmas pudding brought out by the family's uniformed maid, and it's a real treat to see the joy and silliness it inspires in the paper-hatted diners. | Ronald Yeatman, who shot and composed this film, was a keen amateur filmmaker, and made a whole host of home movies documenting family occasions from the mid-1930s to the early-1950s. For this particular episode, he's made inventive use of what was known as 'pre-tinted' film stock - black and white film which was specially dyed a certain colour - as he cuts between the festive green of the intertitles and the rich red of the picture for a charming Christmassy tone.",1937,Xmas 1937,1937-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/a47c16fc-b75f-5258-b532-05c0cd51ee2a,En Fete: International Co-operators' Day in N. & N.W. Areas,Campaigning film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Campaigning film | assuntos: Co-operative Movement; Pageants; Fetes; Physical education; Beekeeping; Country dancing; Girls; Maypole dancing; Tottenham; Morris dancing; Balloons (festive); Willesden | locais: Willesden; Tottenham | som: Silent | duração: 2 min | Brightcove: 6057949427001/ref:E4dWU0MDE6t3FQANpOUDBGT8H9zy3qMF | It's all fun and games in Willesden, Chingford and Tottenham on International Co-operators' Day. | There's a party mood as supporters of the Co-operative movement celebrate International Co-operators' Day. Look more carefully and you'll also spot the occasional placard with slogans such as: ""Let me make steel for engines and bridges - not for guns"" and other signs of underlying discontent. Membership of the Co-operative movement was over 5 million in the UK at the time, and the Co-op shops were a familiar sight on many high streets.",1936,En Fete: International Co-operators' Day in N. & N.W. Areas,1936-01-01,Publicidade e comunicação pública,Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/16247d9d-2dad-55b9-aefc-9b859c9c445a,Eric Russell Personal Film - Coventry,Amateur film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Amateur film | assuntos: Coventry | locais: Coventry; Long Itchington; Bourton-on-the-Water; Moreton-in-Marsh | som: Silent | duração: 15 min | Brightcove: 6057949427001/ref:83NjBqdDrsWmWPujfTpG6WNL9u3D4Gyx | Amateur film shot in Coventry and the Midlands in the late 1930s. Coventry Memorial Park - grave/memorial in centre. Raising of barrage balloon in detail. Football match in ground; rugby union match at Camden Road. Sundial at the back of garden. Long Itchington - house and horses pulling canal boat. Members of the Russell family outside a local paper shop reading newspapers. Family having picnic by the canal. Boughton on the Water - park with lake. Motorcycle Club gathering at the beginning of the outing - picnic, cars. | The surreal presence of barrage balloons on the Coventry skyline gives this home movie an end-of-an-era feel. | The rather avant-garde approach to editing in this film, intercutting the sad-sack presence of barrage balloons with rugby and football matches, actually gives a great sense of how surreal and quietly alarming their arrival on the skyline on the eve of WWII must have been. The montage technique may be more down to accident than Eisenstein, as the sequences of the film are out of chronology. | The balloons and football match are at Coventry's War Memorial par...",1936,Eric Russell Personal Film - Coventry,1936-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/705d6688-bfc1-5277-a1e5-3c16636fbdf5,March against Starvation,Campaigning film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Campaigning film | assuntos: Propaganda; Socialism; Parades and marches | locais: Hyde Park; Aberdeen; Glasgow; Edinburgh; Maryport; Newcastle upon Tyne; Manchester; Cardiff/Caerdydd; York; Selby; Jarrow; Trafalgar Square; London | som: Silent | duração: 10 min | Brightcove: 6057949427001/ref:5oeDhuczpqu5YKHsxc8DVnImLk6zR-0n | A protest march through London organised by the National Unemployed Workers Movement. | Poverty and hunger compels angry, jobless workers - including Jarrow's crusaders - to make a historic march to London to petition government. | Two hundred Jarrow men - jobless after the local shipyard closed - marched to London in 1936 with local MP 'Red Ellen' Wilkinson, to protest against inadequate unemployment relief and demand new jobs. Less often recalled, but more prominent here, are the other men and women from all over the country who similarly made the trek in the National Unemployed Workers Movement's National Protest March. | Jarrow councillors were not keen to associate the Jarrow crusaders - who had local cross-party support - with the NUWM, which had strong Communist Party links. However, once they reached London, the more numerous NUWM marchers joined the Jarrow contingent, swelling their ranks considerably. As a result, this NUWM propaganda film suggests, Conserva...",1936,March against Starvation,1936-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/cb627e7f-a5d4-5dea-a9a8-ceae657d01d3,Scenes and Characters in the Village of Erchfont,Documentary; Amateur film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary; Amateur film | assuntos: Villages; Markets; Rural life; Village greens; Erchfont; Devizes | locais: Urchfont; Devizes | som: Silent | duração: 16 min | Brightcove: 6057949427001/ref:N1cWJsdjofEU1puXroEUID5LvEE3MDf1 | Amateur footage of scenes in the village of Erchfont (Urchfont), Wiltshire. | The Lord of Urchfont Manor films the young, the old, and the very, very old of this close-knit Wiltshire village. | When wealthy lawyer Hamilton Rivers-Pollock purchased Urchfont Manor in 1928, he clearly also acquired an interest in the residents of the local village (which has many different ways to spell its name). He films with a documentary purpose, whether it's a 102-year-old woman wielding a shovel, or the baker or blacksmith pursuing their trades. He captures portrait shots of all the local personalities, treating everyone as a star, and they chat back to him (sadly unrecorded) in a very relaxed fashion. | The film is a priceless snapshot of a timeless, self-sustaining community, from an era when the village in which you were born marked a boundary that was crossed only on market days - here to nearby Devizes. Hamilton Rivers-Pollock, who was also a keen photographer, made two films on the community and its traditional farming methods, which he clearly had a passionate interest in...",1936,Scenes and Characters in the Village of Erchfont,1936-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/e44d30bd-c38a-546f-bdea-af8a47feba60,Opening of Chingford Odeon,Newsreel,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Newsreel | assuntos: Cinemas; Opening ceremonies; Chingford | locais: Chingford | som: Sound | duração: 1 min | Brightcove: 6057949427001/ref:hxbWlzcjpCUMUL5IvTDnFvfHrJQCNcY2 | Short announcement recorded especially for the opening of Chingford Odeon. R.E. Jeffrey of Universal News introduces himself and congratulates Oscar Deutsch, his associates and the people of Chingford on their new cinema. Various angles on the completion work on the building are shown. Jeffrey ends the piece by leading into the newsreel. | Short newsreel item on the construction of the art deco Chingford Odeon, produced for showing in the cinema on its opening day. | Short item on the construction of the Odeon cinema in Chingford, east London, made for showing in the cinema itself on its opening day, 9 September 1935, within the newsreel Universal Talking News. The cinema's striking art deco design, and its huge tower that dominated the district, offered an image of exoticism and luxury intended to entice regular patronage, a fact reiterated in the commentary. | The Odeon cinema (renamed the Classic in 1967) was located in Cherrydown Avenue in Chingford. Demolished shortly after being closed in 1972, the site is currently occupied by a discount shop.",1935-09-09,Opening of Chingford Odeon,1935-09-09,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/e07febc7-b7fd-5010-a2f0-5f88a70b68fc,Reminiscences of a Fortnight Spent at Duporth Holiday Camp,Amateur film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Amateur film | assuntos: Holidays; Cornwall; Holiday camps; Polperro; Looe; Family life; Land's End; Newquay; Seaside holidays; Beauty contests; St Austell; Caerhays Castle | locais: Charlestown; Mevagissey; Newquay; Perranporth; Hell's Mouth; St Ives; Land's End; Gorran Haven; Veryan; Duporth | som: Silent | duração: 38 min | Brightcove: 6057949427001/ref:9sNW01NzE6qekow4zTtEMzC_GURB5Ipq | Home movie footage of a family holiday in Cornwall, in a holiday camp, shot in September 1935, commencing with views of everyone leaving home (Northwood, Hertfordshire), taking breakfast in Amesbury, and arriving at Duport Holiday Camp in St. Austell Bay. | Life's a beach to these 1930s pleasure seekers, for whom two weeks at a Cornwall holiday camp is the holiday of a lifetime | Good morning campers! The holiday camp boom was on the horizon as the Hertfordshire family in this film make the long trip to south Cornwall for a fortnight's hijinks with relatives and friends. The filmmaker is clearly a keen amateur cineaste, experimenting with set-ups and slow motion - aided by a distinct familiarity with a number of the fellow campers. The occasional scenes beyond the bubble of the camp to local fishing villages are also well-shot. | Duporth Holiday Camp near St Austell was only in its second season when our...",1935-09,Reminiscences of a Fortnight Spent at Duporth Holiday Camp,1935-09-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/82c1771e-343d-5bd3-b109-1be6557b90f5,Universal Talking News No. 487,Newsreel,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Newsreel | assuntos: World War I; Local customs; Shipwrecks; Lifeboats; Scarborough; Casablanca | locais: Scarborough; Shetland Islands | som: Sound | duração: 9 min | Brightcove: 6057949427001/ref:plZmlndTptTWJstxAqMlvrPifHl04vn- | Royal Jockey - Duke of Gloucester - Prince Henry. Town Goes Skipping - old custom in Scarborough. High jinks at Mentone - festival. The Queen Mary - a look round the liner. With high ambition - altitude experiments. Flying shuttles - badminton championships. News in Brief: Making shawls in the Shetland Isles; lifeboat wreck at Casablanca; Bluebirds trial spin; Oxford girls practice; moving day. | A curious Scarborough skipping custom and other intriguing happenings from around the world. | What a joy it is to see fully-grown adults skipping! Not such an unusual sight in Scarborough, especially come Shrove Tuesday, when jumping rope is as integral to the celebrations as pancake eating. Fantastic shots of the crowds gathered on the South Bay seafront are the highlight of this eclectic newsreel, which also features stories on a French lemon festival, shawl making on the Shetland Isles, a lifeboat wreck at Casablanca, terrifying-looking altitude experiments, the land speed record-breaker Bluebird, and a sneaky peak at RMS Queen Mary under construction. | Sadly, this...",1935-03-11,Universal Talking News No. 487,1935-03-11,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/6c9ddd86-efce-564a-b5bc-0add61687237,A Visit to Sunny Surrey,Advert,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Advert | assuntos: Housing estates; Advertising; Building; Suburbs; Houses; Interior design; Surrey | locais: Purley; Sanderstead | som: Sound | duração: 6 min | Brightcove: 6057949427001/ref:A1YWMxdjouz7gnMf7BoO30A2bK-yhpeV | Tired of London life? An aspirational couple move out to the country (well, Purley) in this 1930s advert selling sunny Surrey's suburban dream. | Witness the pull of 1930s Purley! An aspirational couple ditch their London flat for a suburban semi in this (incomplete) advert for the shiny new housing estates of Purley Oak, Surrey. Interior shots of a furnished show home highlight space and design, but the development's chief selling point lies in its quality materials and skilled construction - and proximity to the Pearly Downs golf course. | Purley, now in Greater London, grew rapidly in the 1920s and 30s, with young families attracted by the promise of bigger homes and a green environment. William Webb, a local estate agent, had already piloted the 'garden city' concept for Purley in the late 19th century; his estate privileged ample gardens and individually designed houses. Today, the area remains popular among wealthy commuters: a 2002 survey revealed that Purley is home to some of Britain's highest earners.",1935,A Visit to Sunny Surrey,1935-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/eefc54a5-0ae9-5025-bcc0-ebe0e20e1586,Chipping Campden,Travelogue,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Travelogue | assuntos: Chipping Camden | locais: Chipping Campden | som: Silent | duração: 10 min | Brightcove: 6057949427001/ref:5vZTd0dDptXkdHbBaZjVLCZsshTe5c7a | A pastoral portrait of the Cotswolds town in the mid-1930s - a bucolic bubble amid the Great Depression. | Look up the words idyllic or pastoral in the dictionary and this film should be there as a definition. The Cotswolds wool trade built some great fortunes and splendid villages, with few as charming as Chipping Campden. The biggest contrast with today is the lack of tourists, but with the country racked by the Great Depression this bucolic bubble was ripe to pop.",1935,Chipping Campden,1935-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/b130db94-030a-5eb3-9673-be62f72a5b2c,Heart of an Empire,Interest film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Interest film | assuntos: Westminster; Military parades; St James's Park; Piccadilly Circus; Marble Arch; Mall, The; Horse Guards Parade; Downing Street; Australia House (UK); Big Ben; St James' Palace; Buckingham Palace; Household Cavalry | locais: Westminster | som: Sound | duração: 9 min | Brightcove: 6057949427001/ref:9sZ2U3cjrbhT10lX0PkWtbgFt-PRGgmx | St. James's Park is the beating heart of the British Empire in this 1930s documentary, re-edited to reflect turbulent times. | This upbeat documentary trumpets the pomp and grandeur of Britain's fading Empire, exploring St. James's Park, London, and the surrounding seats of power while an urbane commentary on the Park's history adds colour. Downing Street, the Mall and Trafalgar Square all feature along with Buckingham Palace and the King's birthday pageant at Horse Guards Parade. This is one of four versions of the film, which was re-edited during the turbulent 1930s to reflect changing monarchs and prime ministers. | The earliest version of the film features Stanley Baldwin (Prime Minister 1935-37), the Prince of Wales (when he still lived at St. James's Palace, before he briefly became Edward VIII), and a royal salute from King George V (who died in January 1936). The version you see here features Neville Chamberlain (Prime Minister 19...",1935,Heart of an Empire,1935-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/dfee2bd6-78ce-5037-b7e6-64afc4541644,Irish Travelogue,Travelogue,Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Travelogue | assuntos: Northern Ireland; Belfast; Giant's Causeway; Motorcycle racing; Coleraine; Bangor | locais: Belfast; Bangor; Antrim; Giant's Causeway; Coleraine | som: Sound | duração: 4 min | Brightcove: 6057949427001/ref:5taGdmdjqE0xNLFEUeIV_hHDye5x-JWO | Travelogue. A journey through Ireland.,1935,Irish Travelogue,1935-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/e11a91c7-b96f-527e-beaa-822de8bf20b2,Mr H Ramsbotham on the Use of Films in Schools,School programme and Educational film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: School programme and Educational film | assuntos: Education; Cinema | som: Sound | duração: 6 min | Brightcove: 6057949427001/ref:E0czMwczoJJXeuzJtB-PJ2JFOyyf4JpO | Stresses the advantages and importance of using films as means of education. The speaker voices the opinion that pupils who get the opportunity to watch high quality films, are likely to develop a good taste and will be drawn towards less commercial films later in their lives. Films also offer the opportunity to explore unfamiliar surroundings or habits in a unique way. Children who live in towns, for instance, can be introduced to country life. Movement can be recorded on film, which is particularly useful for the study of anatomy and the movement of animals. Special techniques such as stop-motion photography can enable the human eye to witness the growth of plants, which would be impossible otherwise. Diagrams and animations also prove to be useful tools for illustrating various subject-matters.",1935,Mr H Ramsbotham on the Use of Films in Schools,1935-01-01,Registro audiovisual em arquivo fílmico,Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/80ef3fa9-4eee-5ba3-8de0-03f0b506549e,Sam Small at Westminster,Promotional,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Promotional | assuntos: National Government (1931-1941); Houses of Parliament (building) | som: Sound | duração: 2 min | Brightcove: 6057949427001/ref:N4aG8ydDqtM17z2OtpJMxsUgaLeCUkYT | STANLEY HOLLOWAY DELIVERS A MONOLOGUE DESCRIBING HOW SAM SMALL VISITED PARLIAMENT, AND HOW, INCENSED BY OPPOSITION CRITICISM, HE MADE A SPEECH IN SUPPORT OF THE NATIONAL GOVERNMENT. | It's the 1935 general election and Stanley Holloway recites a comic monologue promoting the policies of the National Government. | Popular monologuist Stanley Holloway recalls what happened when comic character Sam Small visited Parliament in this funny promo film advocating the policies of the National Government. After becoming incensed at the unruly behaviour of opposition politicians, Sam cites the government's success in reducing unemployment and slum housing as reasons why it should continue to receive voters' support. | In the wake of the 1929 Wall Street Crash, the National Government, a coalition of the Labour, Conservative and Liberal parties, was formed in an attempt to stabilise the country's economy, with Labour's Ramsey MacDonald as PM. But both the Labour and Liberal parties were to become divided over their support for the government, and a general election was called soon after MacDonald retired in 1935. The Na...",1935,Sam Small at Westminster,1935-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/8f1858ba-c4c0-5c4f-9bf9-1b4a1a094fc2,Some of the Glories of Devon and Its Industries,Travelogue; Industry sponsored film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Travelogue; Industry sponsored film | assuntos: Manufacturing processes; Devon; Ceramics; Tiles; Confectionery | locais: Totnes; Salcombe; Exeter; Widecombe in the Moor; Torquay; Crediton; Newton Abbot | som: Sound | duração: 9 min | Brightcove: 6057949427001/ref:prOGgydTrp7NMtKCudmiuFbiseVveCNq | Beyond the glorious views, this Devon travelogue boasts a mouth-watering focus on the sweet industry. | This holiday-brochure promotional guide to Devon thankfully has some real substance in its focus on the county's clay and confectionary industries. Though ""Devon fires"" may have fallen out of favour in modern homes, interest in how buttery toffees and other sweets are fabricated will never fade - especially when we see them individually wrapped by ""a bevy of beautiful Devon maidens"".",1935,Some of the Glories of Devon and Its Industries,1935-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/383b6a3c-fa13-5e3e-a0d3-0493ed643da8,Two Lancashire Cotton Workers Discuss Safeguarding,Party political broadcast,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Party political broadcast | assuntos: Propaganda; Cotton (textile); Industries, trades and crafts; Conservative Party; Imports; Trade duties | locais: Oldham | som: Sound | duração: 8 min | Brightcove: 6057949427001/ref:ZoOHcyczqOP2cqz6-FOMOeRGYICgFrFE | Two cotton workers discuss unemployment; the benefits of free trade and `safeguarding' - the putting of duties on imports; and one of the workers persuades the other to vote Conservative at the next election. | Not a politician in sight in this clever Conservative election campaign film. | This Conservative Party election campaign film is a surprisingly politician-free zone. Instead, it cunningly stages a debate between a pair of no-nonsense mill workers on the merits of 'safeguarding' (or trade tariffs) to ward off cheap imports. Whether the film changed any minds we'll probably never know, but the Conservatives did slightly increase their majority in the National Government. | The Conservative and Unionist Party, as it was then, was the first to really embrace political advertising. By the 1930s its approach was already quite sophisticated, as demonstrated in the decision here to use not industrialists or economists to make its case but ordinary cotton workers - natural Labour sympathisers, most viewers would assume. In 1935 the Depressio...",1935,Two Lancashire Cotton Workers Discuss Safeguarding,1935-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/4096ff87-dea0-502f-a6a1-a9c57601e297,County of the White Rose,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Yorkshire; York; Richmond (Yorkshire); Fountains Abbey | locais: North York Moors National Park; Bolton Abbey; Richmond; Fountains Abbey; York | som: Sound | duração: 10 min | Brightcove: 6057949427001/ref:VyYTlkdToyJ0QOIVRK-fGWGQV1M3i2VG | Ilkley moor and more in this idyllic travelogue of Yorkshire's dales, castles and minsters, and the historic city of York. | This film seamlessly blends the natural and historical wonders of Yorkshire into a pastoral picture book. Whether it's the trickling streams of the dales, the ruins of Bolton Castle, or the antique streets of York, every shot is designed to yield a contented sigh in the viewer. Like most travelogues, the film is a mini cinema seat holiday from the realities of 1930s Britain, in which it was first released.",1934,County of the White Rose,1934-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/fdf43e76-fd52-5c6d-8b26-16f0c074a685,Round the Wirral with a Movie Camera,Advert; Promotional,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Advert; Promotional | assuntos: Bakeries; Motor cars; Industries, trades and crafts; Birkenhead; Wirral Peninsula; Hats; Costumes; Cheshire; Dairies; Co-operative Retail Society | locais: Birkenhead | som: Silent | duração: 8 min | Brightcove: 6057949427001/ref:w4cHJrdDpjMOjVs9dAfnmOkqoBpILT_I | INDUSTRIES AND ACTIVITIES IN AND AROUND BIRKENHEAD> | Birkenhead's sights, shopping opportunities and industries. | Is this a Birkenhead tourist promo, or an advertising film sponsored by the local businesses of the town? There are elements of both in this brand-name dropping travelogue, which invites us to ""take a drive through beautiful old Cheshire"" and visit new estates where the ""houses can be purchased on easy terms through the Liverpool Duke Street Benefit Building Society"". Look out too for the stylish Armstrong Siddeley saloon car taken for a test drive.",1934,Round the Wirral with a Movie Camera,1934-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
